10,12,15,18,22,25,28,30,28,25,22,18,15,12,10
12,15,20,25,32,38,42,45,42,38,32,25,20,15,12
15,20,28,35,45,55,62,68,62,55,45,35,28,20,15
18,25,35,45,58,72,82,90,82,72,58,45,35,25,18
22,32,45,58,75,92,105,115,105,92,75,58,45,32,22
25,38,55,72,92,112,128,140,128,112,92,72,55,38,25
28,42,62,82,105,128,148,162,148,128,105,82,62,42,28
30,45,68,90,115,140,162,178,162,140,115,90,68,45,30
28,42,62,82,105,128,148,162,148,128,105,82,62,42,28
25,38,55,72,92,112,128,140,128,112,92,72,55,38,25
22,32,45,58,75,92,105,115,105,92,75,58,45,32,22
18,25,35,45,58,72,82,90,82,72,58,45,35,25,18
15,20,28,35,45,55,62,68,62,55,45,35,28,20,15
12,15,20,25,32,38,42,45,42,38,32,25,20,15,12
10,12,15,18,22,25,28,30,28,25,22,18,15,12,10
